code,name,cate_code,cate_name
155900,바다로19호,147601,운송장비 임대업
206640,바디텍메드,32103,의료용품 및 기타 의약 관련제품 제조업
18700,바른손,95601,음식점업
35620,바른손이앤에이,105802,소프트웨어 개발 및 공급업
64520,바른전자,32601,반도체 제조업
29480,바른테크놀로지,32604,통신 및 방송 장비 제조업
53030,바이넥스,32102,의약품 제조업
84990,바이로메드,137001,자연과학 및 공학 연구개발업
64550,바이오니아,32103,의료용품 및 기타 의약 관련제품 제조업
222810,바이오닉스진,105802,소프트웨어 개발 및 공급업
208710,바이오로그디바이스,32602,전자부품 제조업
142760,바이오리더스,137001,자연과학 및 공학 연구개발업
65940,바이오빌,32001,기초 화학물질 제조업
38460,바이오스마트,32602,전자부품 제조업
281310,바이오시네틱스,137001,자연과학 및 공학 연구개발업
44480,바이오제네틱스,32201,고무제품 제조업
216400,바이오코아,137001,자연과학 및 공학 연구개발업
86040,바이오톡스텍,137001,자연과학 및 공학 연구개발업
199290,바이오프로테크,32701,의료용 기기 제조업
32980,바이온,74603,음·식료품 및 담배 도매업
222160,바이옵트로,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
43150,바텍,32701,의료용 기기 제조업
3610,방림,31302,직물직조 및 직물제품 제조업
267790,배럴,31401,봉제의복 제조업
1340,백광산업,32001,기초 화학물질 제조업
14580,백광소재,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
46310,백금T&A,32604,통신 및 방송 장비 제조업
35150,백산,32202,플라스틱제품 제조업
36620,버추얼텍,74607,기타 전문 도매업
2410,범양건영,64101,건물 건설업
177350,베셀,32902,특수 목적용 기계 제조업
96300,베트남개발1,116402,신탁업 및 집합투자업
7210,벽산,32309,기타 비금속 광물제품 제조업
225530,보광산업,20702,기타 비금속광물 광업
250000,보라티알,74603,음·식료품 및 담배 도매업
2760,보락,32004,기타 화학제품 제조업
14100,보령메디앙스,32004,기타 화학제품 제조업
3850,보령제약,32102,의약품 제조업
6910,보성파워텍,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
890,보해양조,31101,알코올음료 제조업
242420,본느,32004,기타 화학제품 제조업
206950,볼빅,33303,운동 및 경기용구 제조업
3000,부광약품,32102,의약품 제조업
